estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Contextual DAG,1.0747475924988519,18.67,18.57,0.015417682798545131,10.12,1.0,100,20,2,10,1,erdos-renyi,1
Fixed DAG,0.9955404993465433,8.0,9.0,0.35294117647058826,7.0,1.0,100,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),1.0206081890765564,17.76,18.4,0.1153462443265441,12.25,1.0,100,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.9643343488353692,18.4,19.46,0.15606261324776002,12.74,1.0,100,20,2,10,1,erdos-renyi,1
Clustered DAG,0.9955404993465433,8.0,9.0,0.35294117647058826,7.0,1.0,100,20,2,10,1,erdos-renyi,1
Contextual DAG,0.9186969155079976,12.08860759493671,11.984177215189874,0.24441294530792657,9.484177215189874,1.0,316,20,2,10,1,erdos-renyi,1
Fixed DAG,0.43393874967309526,1.0,1.0,0.9523809523809528,11.0,1.0,316,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.788577545968981,8.417721518987342,9.360759493670885,0.4484717299214239,7.39873417721519,1.0,316,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.7695732618172736,9.936708860759493,10.977848101265822,0.4414664557997385,9.30379746835443,1.0,316,20,2,10,1,erdos-renyi,1
Clustered DAG,0.8188354115977938,8.734177215189874,9.69620253164557,0.4714596233583576,8.734177215189874,1.0,316,20,2,10,1,erdos-renyi,1
Contextual DAG,0.6831407523831111,4.994,5.023,0.6667421423655333,9.148,1.0,1000,20,2,10,1,erdos-renyi,1
Fixed DAG,0.5309676688380338,1.0,2.0,0.8999999999999989,10.0,1.0,1000,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.5780908920875739,5.394,7.062,0.7188170386165588,11.158,1.0,1000,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.5828832527940224,3.722,4.416,0.7483303968442072,8.794,1.0,1000,20,2,10,1,erdos-renyi,1
Clustered DAG,0.749359375988637,7.657,7.755,0.48259680381687364,8.792,1.0,1000,20,2,10,1,erdos-renyi,1
Contextual DAG,0.5811681018054753,2.0746363061353574,2.1973434535104364,0.8314184698781203,10.089184060721063,1.0,3162,20,2,10,1,erdos-renyi,1
Fixed DAG,0.4634428387607388,0.0,0.0,1.0,10.0,1.0,3162,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.5418298538856187,0.5224541429475016,0.777988614800759,0.9737176643281314,9.93674889310563,1.0,3162,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.44479640837871304,0.6862745098039216,0.9901960784313726,0.969400229263132,10.552182163187856,1.0,3162,20,2,10,1,erdos-renyi,1
Clustered DAG,0.6935700880136584,7.673624288425048,8.311195445920303,0.5546497679464465,10.209361163820367,1.0,3162,20,2,10,1,erdos-renyi,1
Contextual DAG,0.4602868804589309,1.9157,1.7816,0.8084593483709274,9.9996,1.0,10000,20,2,10,1,erdos-renyi,1
Fixed DAG,0.4486472190347516,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.23393378065317222,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.3000374225265303,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,1
Clustered DAG,0.7823729872918953,8.6319,8.7301,0.4611316243847239,9.7215,1.0,10000,20,2,10,1,erdos-renyi,1
Contextual DAG,1.1139046568745123,16.31,16.43,0.04635189642856355,7.87,1.0,100,20,5,10,1,erdos-renyi,1
Fixed DAG,0.8426720850938391,10.0,9.0,0.36363636363636376,12.0,1.0,100,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),1.0275950138163237,18.72,18.71,0.1053632065206303,12.92,1.0,100,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),1.0878580273770493,18.4,18.72,0.1014201363101659,11.0,1.0,100,20,5,10,1,erdos-renyi,1
Clustered DAG,0.8426720850938391,10.0,9.0,0.36363636363636376,12.0,1.0,100,20,5,10,1,erdos-renyi,1
Contextual DAG,0.9786897189709237,12.534810126582279,12.819620253164556,0.1968946709873925,7.737341772151899,1.0,316,20,5,10,1,erdos-renyi,1
Fixed DAG,0.503553301852685,2.0,0.0,0.8000000000000006,10.0,1.0,316,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),0.8535861913210685,10.050632911392405,10.841772151898734,0.3660932460409094,7.8955696202531644,1.0,316,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),0.7899623015142799,9.468354430379748,11.310126582278482,0.4782641109100854,9.082278481012658,1.0,316,20,5,10,1,erdos-renyi,1
