estimator,time,n,p,m,ne,s,graph_type,id
Contextual DAG,6.98025149,1000,20,2,10,0.5,erdos-renyi,1
Contextual DAG,6.463710687,3250,20,2,10,0.5,erdos-renyi,1
Contextual DAG,25.538023654,5500,20,2,10,0.5,erdos-renyi,1
Contextual DAG,25.788446117,7750,20,2,10,0.5,erdos-renyi,1
Contextual DAG,54.69507263,10000,20,2,10,0.5,erdos-renyi,1
Contextual DAG,4.625558578,1000,20,2,10,0.5,erdos-renyi,2
Contextual DAG,7.373633118,3250,20,2,10,0.5,erdos-renyi,2
Contextual DAG,9.465333277,5500,20,2,10,0.5,erdos-renyi,2
Contextual DAG,33.191037097,7750,20,2,10,0.5,erdos-renyi,2
Contextual DAG,16.12911621,10000,20,2,10,0.5,erdos-renyi,2
Contextual DAG,6.886901671,1000,20,2,10,0.5,erdos-renyi,3
Contextual DAG,10.974034537,3250,20,2,10,0.5,erdos-renyi,3
Contextual DAG,7.200938515,5500,20,2,10,0.5,erdos-renyi,3
Contextual DAG,33.43839534,7750,20,2,10,0.5,erdos-renyi,3
Contextual DAG,16.210698829,10000,20,2,10,0.5,erdos-renyi,3
Contextual DAG,9.851820477,1000,20,2,10,0.5,erdos-renyi,4
Contextual DAG,10.428242158,3250,20,2,10,0.5,erdos-renyi,4
Contextual DAG,16.428598596,5500,20,2,10,0.5,erdos-renyi,4
Contextual DAG,21.301053219,7750,20,2,10,0.5,erdos-renyi,4
Contextual DAG,58.695470757,10000,20,2,10,0.5,erdos-renyi,4
Contextual DAG,5.158025632,1000,20,2,10,0.5,erdos-renyi,5
Contextual DAG,6.623635827,3250,20,2,10,0.5,erdos-renyi,5
Contextual DAG,11.026627606,5500,20,2,10,0.5,erdos-renyi,5
Contextual DAG,29.416183604,7750,20,2,10,0.5,erdos-renyi,5
Contextual DAG,42.835206031,10000,20,2,10,0.5,erdos-renyi,5
Contextual DAG,6.013877737,1000,20,2,10,0.5,erdos-renyi,6
Contextual DAG,10.142464471,3250,20,2,10,0.5,erdos-renyi,6
Contextual DAG,11.606937026,5500,20,2,10,0.5,erdos-renyi,6
Contextual DAG,15.529733508,7750,20,2,10,0.5,erdos-renyi,6
Contextual DAG,46.800381987,10000,20,2,10,0.5,erdos-renyi,6
Contextual DAG,7.122077305,1000,20,2,10,0.5,erdos-renyi,7
Contextual DAG,7.309345784,3250,20,2,10,0.5,erdos-renyi,7
Contextual DAG,24.416668342,5500,20,2,10,0.5,erdos-renyi,7
Contextual DAG,35.719919607,7750,20,2,10,0.5,erdos-renyi,7
Contextual DAG,56.712871358,10000,20,2,10,0.5,erdos-renyi,7
Contextual DAG,2.972475627,1000,20,2,10,0.5,erdos-renyi,8
Contextual DAG,14.624449075,3250,20,2,10,0.5,erdos-renyi,8
Contextual DAG,22.692151306,5500,20,2,10,0.5,erdos-renyi,8
Contextual DAG,35.011451412,7750,20,2,10,0.5,erdos-renyi,8
Contextual DAG,33.219786901,10000,20,2,10,0.5,erdos-renyi,8
Contextual DAG,5.981530582,1000,20,2,10,0.5,erdos-renyi,9
Contextual DAG,11.097274079,3250,20,2,10,0.5,erdos-renyi,9
Contextual DAG,11.474487435,5500,20,2,10,0.5,erdos-renyi,9
Contextual DAG,34.357647993,7750,20,2,10,0.5,erdos-renyi,9
Contextual DAG,51.571873561,10000,20,2,10,0.5,erdos-renyi,9
Contextual DAG,6.034949483,1000,20,2,10,0.5,erdos-renyi,10
Contextual DAG,17.366574521,3250,20,2,10,0.5,erdos-renyi,10
