estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Contextual DAG,0.7151662663264406,4.17,4.45,0.3019165775744723,2.41,1.0,100,20,2,10,0.5,erdos-renyi,1
Fixed DAG,0.9572411966061579,5.55,5.94,0.2907121212121212,4.0,1.0,100,20,2,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.7309616984497425,5.69,6.16,0.30365652249197395,4.64,1.0,100,20,2,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.5948379241566745,2.96,3.52,0.549536891471102,3.56,1.0,100,20,2,10,0.5,erdos-renyi,1
Clustered DAG,0.9572411966061579,5.55,5.94,0.2907121212121212,4.0,1.0,100,20,2,10,0.5,erdos-renyi,1
Contextual DAG,0.47732441648302165,3.8639240506329116,4.072784810126582,0.551942321296224,4.9525316455696204,1.0,316,20,2,10,0.5,erdos-renyi,1
Fixed DAG,0.8470157522477826,4.268987341772152,4.620253164556962,0.4126879098398086,5.0,1.0,316,20,2,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.6566216615747474,5.598101265822785,5.6075949367088604,0.37848960161431083,5.544303797468355,1.0,316,20,2,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.4180920056585615,3.9145569620253164,4.756329113924051,0.6405425537591339,6.3575949367088604,1.0,316,20,2,10,0.5,erdos-renyi,1
Clustered DAG,0.6126073320386333,4.651898734177215,4.822784810126582,0.5313341897202654,5.531645569620253,1.0,316,20,2,10,0.5,erdos-renyi,1
Contextual DAG,0.37507571042299964,1.24,1.557,0.7897266622266618,4.225,1.0,1000,20,2,10,0.5,erdos-renyi,1
Fixed DAG,0.9199475846254389,5.089,4.43,0.3087390997890999,4.0,1.0,1000,20,2,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5927924805827318,3.003,2.486,0.5249204761410947,4.68,1.0,1000,20,2,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.4566494355585847,1.452,1.752,0.7245266743060859,3.569,1.0,1000,20,2,10,0.5,erdos-renyi,1
Clustered DAG,0.43086734961232187,2.126,2.424,0.7373961760461756,4.608,1.0,1000,20,2,10,0.5,erdos-renyi,1
Contextual DAG,0.22476268450275497,0.8434535104364327,0.9943074003795066,0.8960151993584263,4.917141049968374,1.0,3162,20,2,10,0.5,erdos-renyi,1
Fixed DAG,0.8759821899825729,4.848513598987982,4.957621758380772,0.35203997632840134,5.0,1.0,3162,20,2,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5405712523541331,2.987349778621126,2.1024667931688805,0.5249402736111928,4.900695762175838,1.0,3162,20,2,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.21466673363613922,0.5923466160657812,0.7428842504743833,0.9293594778386606,4.905755850727387,1.0,3162,20,2,10,0.5,erdos-renyi,1
Clustered DAG,0.3168674834260879,2.155597722960152,2.3396584440227706,0.7613836601195682,5.249525616698293,1.0,3162,20,2,10,0.5,erdos-renyi,1
Contextual DAG,0.13110922236272948,0.2807,0.378,0.9622255411255414,4.9366,1.0,10000,20,2,10,0.5,erdos-renyi,1
Fixed DAG,0.908819895932541,4.6717,4.555,0.38136295870795867,5.0,1.0,10000,20,2,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5317715702201009,2.6559,1.8002,0.5732735640082313,5.1661,1.0,10000,20,2,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.12723231924032147,0.1163,0.1577,0.9877583000333001,4.985,1.0,10000,20,2,10,0.5,erdos-renyi,1
Clustered DAG,0.360868604172476,2.3044,2.5847,0.7402753430556375,4.9766,1.0,10000,20,2,10,0.5,erdos-renyi,1
Contextual DAG,0.9059317201837997,11.61,11.99,0.2221371799827103,10.39,1.0,100,20,5,10,0.5,erdos-renyi,1
Fixed DAG,0.9058976619432437,5.8,6.25,0.35752269952269955,6.0,1.0,100,20,5,10,0.5,erdos-renyi,1
Sorted DAG (fixed),1.0,4.98,4.98,0.0,0.0,1.0,100,20,5,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.820648101527675,9.26,10.01,0.3194005852953417,8.86,1.0,100,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.9058976619432437,5.8,6.25,0.35752269952269955,6.0,1.0,100,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.8250519468836335,4.5664556962025316,4.8924050632911396,0.41454833260104385,3.5411392405063293,1.0,316,20,5,10,0.5,erdos-renyi,1
Fixed DAG,0.9291003205666357,5.1075949367088604,5.205696202531645,0.346956471798244,4.0,1.0,316,20,5,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.8232889046615314,5.256329113924051,5.7025316455696204,0.3990792116719845,4.174050632911392,1.0,316,20,5,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.6673114242014682,3.2753164556962027,3.8354430379746836,0.6136324012141988,4.0664556962025316,1.0,316,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.8231894558631164,5.487341772151899,6.180379746835443,0.4133241846058301,5.525316455696203,1.0,316,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.4312739803010345,2.519,2.981,0.7460867594972888,5.106,1.0,1000,20,5,10,0.5,erdos-renyi,1
Fixed DAG,0.8443216821130158,4.752,4.72,0.4998393495393495,6.0,1.0,1000,20,5,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5028809061234994,4.194,4.348,0.5810479930139508,6.044,1.0,1000,20,5,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.48036912849954255,1.379,1.759,0.8323469970566514,4.343,1.0,1000,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.6286924730185878,3.668,3.993,0.6030135420135421,4.919,1.0,1000,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.31734343078576077,1.5464895635673623,1.8402909550917141,0.8152128877333895,4.594876660341556,1.0,3162,20,5,10,0.5,erdos-renyi,1
Fixed DAG,0.9465882270903663,5.214104996837444,5.118595825426945,0.31343443610995786,4.0,1.0,3162,20,5,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5769607551389,3.1388361796331434,3.091081593927894,0.5728044430505719,4.105313092979127,1.0,3162,20,5,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.45862686511144934,1.6299810246679316,1.9250474383301708,0.7751261335258052,3.8206831119544593,1.0,3162,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.5680390206105671,3.447817836812144,3.9082858950031625,0.6254488712826698,4.986084756483239,1.0,3162,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.26176197932780276,1.2435,1.5111,0.8684836028126237,5.3668,1.0,10000,20,5,10,0.5,erdos-renyi,1
Fixed DAG,0.9395910566030339,5.4613,5.68,0.2878014446664447,4.0,1.0,10000,20,5,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5566727247593459,3.0906,2.5576,0.5181217333737889,4.5419,1.0,10000,20,5,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.1762020196500925,1.0439,1.3387,0.9037232202886029,5.852,1.0,10000,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.480318529445324,2.9245,3.334,0.6624860068363012,4.8737,1.0,10000,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.8187990056950826,5.37,5.55,0.30508855211014385,3.67,1.0,100,20,2,10,0.5,scale-free,1
Fixed DAG,0.9317105580245082,6.14,6.66,0.2755823620823621,5.0,1.0,100,20,2,10,0.5,scale-free,1
Sorted DAG (fixed),0.7853899376509522,5.7,5.97,0.25206698825197277,3.42,1.0,100,20,2,10,0.5,scale-free,1
Sorted DAG (truth),0.684868006651166,3.66,4.12,0.5033623321123322,3.59,1.0,100,20,2,10,0.5,scale-free,1
